initiative,stage,impact_category,coverage_status,responsible_actor,required_metric,reporting_audience,geographic_scope,known_omission,source
EU AI Act (2024/1689),training,energy;carbon,partial,GPAI model providers / AI Office,Energy use reporting for high-risk and general-purpose systems,Authorities (limited access),EU,"Reporting focuses on model development; public and downstream providers have limited access",Lecture slides 67-76; eur-lex 2024/1689 (verify current text)
EU AI Act (2024/1689),inference,energy;carbon,not_covered,n/a,n/a,n/a,EU,"Energy disclosure for general-purpose AI omits inference",Lecture slides 67-76; eur-lex 2024/1689 (verify current text)
EU AI Act (2024/1689),hardware production,materials;carbon;water,not_covered,n/a,n/a,n/a,EU,"Hardware value chain (mining, manufacturing, transport, disposal) not addressed",Lecture slides 67-76
EU AI Act (2024/1689),electricity generation,energy;carbon;water,not_covered,n/a,n/a,n/a,EU,"Electricity generation and marginal grid intensity not addressed",Lecture slides 67-76
EU AI Act (2024/1689),cooling and water,water;energy,not_covered,n/a,n/a,n/a,EU,"Water consumption not addressed in the same way as energy",Lecture slides 67-76
EU AI Act (2024/1689),application effects,carbon,not_covered,n/a,n/a,n/a,EU,"AI application emissions are not fully covered",Lecture slides 67-76
EU AI Act (2024/1689),system-level effects,carbon,not_covered,n/a,n/a,n/a,EU,"Rebound, lock-in, and consumption effects not covered",Lecture slides 67-76
EU AI Act (2024/1689),siting and community impacts,land;community,not_covered,n/a,n/a,n/a,EU,"Environmental harm is not an explicit criterion for every system",Lecture slides 67-76
US AI Environmental Impacts Act 2024 (proposed),training,energy;carbon,partial,EPA / NIST (under the proposal),Environmental-impact assessment (details pending),Public (to be defined),United States,"Proposed bill only; per-stage coverage depends on EPA/NIST rulemaking and is not yet specified",Lecture slides 67-76; verify current status
US AI Environmental Impacts Act 2024 (proposed),inference,energy;carbon,partial,EPA / NIST (under the proposal),Environmental-impact assessment (details pending),Public (to be defined),United States,"Proposed bill only; per-stage coverage depends on EPA/NIST rulemaking and is not yet specified",Lecture slides 67-76; verify current status
US AI Environmental Impacts Act 2024 (proposed),hardware production,materials;carbon;water,partial,EPA / NIST (under the proposal),Environmental-impact assessment (details pending),Public (to be defined),United States,"Proposed bill only; per-stage coverage depends on EPA/NIST rulemaking and is not yet specified",Lecture slides 67-76; verify current status
US AI Environmental Impacts Act 2024 (proposed),electricity generation,energy;carbon;water,partial,EPA / NIST (under the proposal),Environmental-impact assessment (details pending),Public (to be defined),United States,"Proposed bill only; per-stage coverage depends on EPA/NIST rulemaking and is not yet specified",Lecture slides 67-76; verify current status
US AI Environmental Impacts Act 2024 (proposed),cooling and water,water;energy,partial,EPA / NIST (under the proposal),Environmental-impact assessment (details pending),Public (to be defined),United States,"Proposed bill only; per-stage coverage depends on EPA/NIST rulemaking and is not yet specified",Lecture slides 67-76; verify current status
US AI Environmental Impacts Act 2024 (proposed),application effects,carbon,partial,EPA / NIST (under the proposal),Environmental-impact assessment (details pending),Public (to be defined),United States,"Proposed bill only; per-stage coverage depends on EPA/NIST rulemaking and is not yet specified",Lecture slides 67-76; verify current status
US AI Environmental Impacts Act 2024 (proposed),system-level effects,carbon,partial,EPA / NIST (under the proposal),Environmental-impact assessment (details pending),Public (to be defined),United States,"Proposed bill only; per-stage coverage depends on EPA/NIST rulemaking and is not yet specified",Lecture slides 67-76; verify current status
US AI Environmental Impacts Act 2024 (proposed),siting and community impacts,land;community,partial,EPA / NIST (under the proposal),Environmental-impact assessment (details pending),Public (to be defined),United States,"Proposed bill only; per-stage coverage depends on EPA/NIST rulemaking and is not yet specified",Lecture slides 67-76; verify current status
EU EED 2023/1791 + DR 2024/1364,training,energy;carbon,partial,Data-center operators (facilities at least 500 kW),Annual reporting: energy consumption and PUE,Public (EU database),EU,"Facility-level data only; not model- or training-specific",Lecture slides 67-76; eur-lex 2023/1791 and 2024/1364 (verify current requirements)
EU EED 2023/1791 + DR 2024/1364,inference,energy;carbon,partial,Data-center operators (facilities at least 500 kW),Annual reporting: energy consumption and PUE,Public (EU database),EU,"Facility-level data only; inference share not separated",Lecture slides 67-76; eur-lex 2023/1791 and 2024/1364 (verify current requirements)
EU EED 2023/1791 + DR 2024/1364,hardware production,materials;carbon;water,not_covered,n/a,n/a,n/a,EU,"Hardware value chain not covered by data-center rules",Lecture slides 67-76
EU EED 2023/1791 + DR 2024/1364,electricity generation,energy;carbon;water,partial,Data-center operators (facilities at least 500 kW),Annual reporting: renewable-energy share,Public (EU database),EU,"Marginal grid intensity and carbon intensity of supply not reported",Lecture slides 67-76; eur-lex 2023/1791 and 2024/1364 (verify current requirements)
EU EED 2023/1791 + DR 2024/1364,cooling and water,water;energy,partial,Data-center operators (facilities at least 500 kW),Annual reporting: water use and waste-heat utilization,Public (EU database),EU,"Water withdrawal, consumption, and discharge not separated",Lecture slides 67-76; eur-lex 2023/1791 and 2024/1364 (verify current requirements)
EU EED 2023/1791 + DR 2024/1364,application effects,carbon,not_covered,n/a,n/a,n/a,EU,"Application-level emissions sit outside facility reporting",Lecture slides 67-76
EU EED 2023/1791 + DR 2024/1364,system-level effects,carbon,not_covered,n/a,n/a,n/a,EU,"System-level effects sit outside facility reporting",Lecture slides 67-76
EU EED 2023/1791 + DR 2024/1364,siting and community impacts,land;community;water,partial,Data-center operators (facilities at least 500 kW),Facility location and annual reporting,Public (EU database),EU,"No seasonal water-stress or grid-peak permit conditions; community impacts not addressed",Lecture slides 67-76
DE Energy Efficiency Act 2023 (EnEfG),training,energy;carbon,partial,Data-center operators (facility-level),Energy reporting per the act,Authorities / public (per the act),Germany,"Facility-level data only; model-specific energy not separated",Lecture slides 67-76; verify current text
DE Energy Efficiency Act 2023 (EnEfG),inference,energy;carbon,partial,Data-center operators (facility-level),Energy reporting per the act,Authorities / public (per the act),Germany,"Facility-level data only; inference share not separated",Lecture slides 67-76; verify current text
DE Energy Efficiency Act 2023 (EnEfG),hardware production,materials;carbon;water,not_covered,n/a,n/a,n/a,Germany,"Hardware value chain not covered",Lecture slides 67-76
DE Energy Efficiency Act 2023 (EnEfG),electricity generation,energy;carbon;water,partial,Data-center operators (facility-level),Renewable-energy share reporting,Authorities / public (per the act),Germany,"Marginal grid intensity not reported",Lecture slides 67-76; verify current text
DE Energy Efficiency Act 2023 (EnEfG),cooling and water,water;energy,partial,Data-center operators (facility-level),Water use and waste-heat utilization reporting,Authorities / public (per the act),Germany,"Water withdrawal, consumption, and discharge not separated",Lecture slides 67-76; verify current text
DE Energy Efficiency Act 2023 (EnEfG),application effects,carbon,not_covered,n/a,n/a,n/a,Germany,"Application-level emissions outside facility reporting",Lecture slides 67-76
DE Energy Efficiency Act 2023 (EnEfG),system-level effects,carbon,not_covered,n/a,n/a,n/a,Germany,"System-level effects outside facility reporting",Lecture slides 67-76
DE Energy Efficiency Act 2023 (EnEfG),siting and community impacts,land;community;water,partial,Data-center operators (new builds),Siting-related requirements such as waste-heat utilization for new data centers,Authorities / public (per the act),Germany,"Local community impacts, seasonal water stress, and grid peaks not addressed",Lecture slides 67-76; verify current text
