task,model,accuracy,energy_kwh_per_1000_requests,grid_gco2e_per_kwh,direct_water_ml_per_1000_requests,indirect_water_ml_per_1000_requests,embodied_carbon_kgco2e_per_device,devices,training_energy_kwh
product review sentiment,large api llm,0.97,32.5,450,1400,7500,5000,8,900000
product review sentiment,fine-tuned 8b llm,0.97,6.8,450,300,1600,800,2,120000
product review sentiment,distilled 3b llm,0.94,1.9,450,90,500,300,1,60000
product review sentiment,tinyml on device,0.88,0.04,450,8,12,15,1,400
video scene captioning,large multimodal llm,0.96,420,450,18000,90000,12000,16,3500000
video scene captioning,medium multimodal llm,0.91,95,450,4200,21000,3500,4,800000
video scene captioning,small captioning model,0.82,11,450,500,2600,600,1,150000
image classification,large vision transformer,0.99,1.8,450,60,320,900,1,20000
image classification,cnn mobile,0.96,0.18,450,9,40,80,1,3000
image classification,tinyml classifier,0.89,0.01,450,2,5,10,1,200
